scenario,scenario_description,model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,recall_macro_mean
full_current,Pipeline atual com variaveis originais e features derivadas.,RandomForest,0.9870618337865593,0.005983998071708554,0.9867504432499661,0.006322689885919455,0.9871805455107289,0.9867181009840703
full_current,Pipeline atual com variaveis originais e features derivadas.,ExtraTrees,0.9822679655318808,0.007821908870801291,0.9815731533238795,0.008367404107040025,0.9819160535486573,0.9814980254930588
full_current,Pipeline atual com variaveis originais e features derivadas.,GradientBoosting,0.9808325588333162,0.00934447091745843,0.980554360552975,0.009809461647714957,0.9812324450066546,0.9804480217227095
full_current,Pipeline atual com variaveis originais e features derivadas.,DecisionTree,0.9702970637843791,0.011886858358318207,0.9697818573218375,0.012199451897887893,0.9703223752669305,0.9696293906377125
full_current,Pipeline atual com variaveis originais e features derivadas.,LogisticRegression,0.9655031955297007,0.009411789481307005,0.9641852448682975,0.00984182177755485,0.9649489221308762,0.9641424490462857
full_current,Pipeline atual com variaveis originais e features derivadas.,SVM,0.9650189895930146,0.011004222096838285,0.9637477709119008,0.011490688819442464,0.9644327392282603,0.9636886742869484
full_current,Pipeline atual com variaveis originais e features derivadas.,KNN,0.9094397209505123,0.0059374841331908245,0.9051286133226215,0.005498423151602008,0.9071576175953752,0.9066368052411233
no_derived_redundant,Mantem colunas originais e remove features derivadas redundantes.,GradientBoosting,0.9640769680905994,0.01342258999687225,0.9626814074425007,0.013863269996123709,0.963670931395342,0.9625616489443158
no_derived_redundant,Mantem colunas originais e remove features derivadas redundantes.,RandomForest,0.9424999713148141,0.008448363032243928,0.9408895965384643,0.009130218689718748,0.9446936903713418,0.9402943276562128
no_derived_redundant,Mantem colunas originais e remove features derivadas redundantes.,DecisionTree,0.9329294459169507,0.013748455151846906,0.9311149599527523,0.014596655403018112,0.9323121332399367,0.9308126101726595
no_derived_redundant,Mantem colunas originais e remove features derivadas redundantes.,SVM,0.9185501359677808,0.008369886505495111,0.9153227863326784,0.00904317751071523,0.9166135906333979,0.9152917809110962
no_derived_redundant,Mantem colunas originais e remove features derivadas redundantes.,ExtraTrees,0.9137505306759378,0.011632098517808548,0.9110718761349756,0.01219258500279497,0.9136381694677231,0.9106231660764059
no_derived_redundant,Mantem colunas originais e remove features derivadas redundantes.,LogisticRegression,0.8739894209034687,0.009908534928550726,0.8687190199347482,0.010869169428961897,0.8720302740862387,0.8709839889395926
no_derived_redundant,Mantem colunas originais e remove features derivadas redundantes.,KNN,0.8318256399664957,0.013286472926732346,0.8121895874236312,0.01962694222334674,0.8277380409823161,0.8249273979378733
preventive_behavioral,Remove peso e derivados antropometricos para estimar um modelo mais preventivo/comportamental.,RandomForest,0.8806822484596054,0.008590769331349522,0.8790878517528332,0.009605219239083898,0.8840175042695236,0.8772270808442639
preventive_behavioral,Remove peso e derivados antropometricos para estimar um modelo mais preventivo/comportamental.,ExtraTrees,0.8572017027526304,0.012185914007592344,0.8531315624011523,0.012956182101663669,0.8559772329252067,0.8525905289673087
preventive_behavioral,Remove peso e derivados antropometricos para estimar um modelo mais preventivo/comportamental.,GradientBoosting,0.831339139214944,0.009375409613294963,0.8287964197918415,0.01037298724929958,0.8343813059927735,0.8274808158220166
preventive_behavioral,Remove peso e derivados antropometricos para estimar um modelo mais preventivo/comportamental.,SVM,0.7963696028822874,0.012757724446481091,0.7894663345312678,0.013427698360372374,0.793470820570863,0.7922591789738564
preventive_behavioral,Remove peso e derivados antropometricos para estimar um modelo mais preventivo/comportamental.,KNN,0.7839076107535025,0.008963031310823983,0.7588884057783307,0.013725400849729749,0.7844786872793457,0.776111348880382
preventive_behavioral,Remove peso e derivados antropometricos para estimar um modelo mais preventivo/comportamental.,DecisionTree,0.7613828554381377,0.019569319726550804,0.7534593251913295,0.020602696497609593,0.7545201507560283,0.7549246409682816
preventive_behavioral,Remove peso e derivados antropometricos para estimar um modelo mais preventivo/comportamental.,LogisticRegression,0.6080582424012942,0.013008127451062713,0.5834090181845207,0.014411241967313738,0.6047802798560132,0.5988428394557404
