model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,recall_macro_mean
RandomForest,0.9870618337865593,0.005983998071708554,0.9867504432499661,0.006322689885919455,0.9871805455107289,0.9867181009840703
ExtraTrees,0.9822679655318808,0.007821908870801291,0.9815731533238795,0.008367404107040025,0.9819160535486573,0.9814980254930588
GradientBoosting,0.9808325588333162,0.00934447091745843,0.980554360552975,0.009809461647714957,0.9812324450066546,0.9804480217227095
DecisionTree,0.9702970637843791,0.011886858358318207,0.9697818573218375,0.012199451897887893,0.9703223752669305,0.9696293906377125
LogisticRegression,0.9655031955297007,0.009411789481307005,0.9641852448682975,0.00984182177755485,0.9649489221308762,0.9641424490462857
SVM,0.9650189895930146,0.011004222096838285,0.9637477709119008,0.011490688819442464,0.9644327392282603,0.9636886742869484
KNN,0.9094397209505123,0.0059374841331908245,0.9051286133226215,0.005498423151602008,0.9071576175953752,0.9066368052411233
